,ClassNumber,ClassLetter,Subgroup,LessonName,TeacherID,Week,Weekday,StartHour,StartMinute,EndHour,EndMinute,Room,Required,Teacher
0,8,а,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
1,8,а,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
2,8,б,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
3,8,б,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
4,8,в,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
5,8,в,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
6,9,а,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
7,9,а,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
8,9,б,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
9,9,б,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
10,9,в,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
11,9,в,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
12,10,а,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
13,10,а,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
14,10,б,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
15,10,б,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
16,10,в,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
17,10,в,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
18,11,а,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
19,11,а,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
20,11,б,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
21,11,б,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
22,11,в,англ. Татьяна Петровна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
23,11,в,англ. Светлана Николаевна,Разговоры о важном,1,0,0,8,00,8,30,,True,Некто
24,8,а,англ. Татьяна Петровна,физика,1,0,0,8,35,9,15,14,True,Некто
25,8,а,англ. Светлана Николаевна,физика,1,0,0,8,35,9,15,14,True,Некто
26,8,б,англ. Татьяна Петровна,история,1,0,0,8,35,9,15,6,True,Некто
27,8,б,англ. Светлана Николаевна,история,1,0,0,8,35,9,15,6,True,Некто
28,8,в,англ. Татьяна Петровна,русский язык,1,0,0,8,35,9,15,5,True,Некто
29,8,в,англ. Светлана Николаевна,русский язык,1,0,0,8,35,9,15,5,True,Некто
30,9,а,англ. Татьяна Петровна,биология,1,0,0,8,35,9,15,2,True,Некто
31,9,а,англ. Светлана Николаевна,биология,1,0,0,8,35,9,15,2,True,Некто
32,9,б,англ. Татьяна Петровна,география,1,0,0,8,35,9,15,7,True,Некто
33,9,б,англ. Светлана Николаевна,география,1,0,0,8,35,9,15,7,True,Некто
34,9,в,англ. Татьяна Петровна,физическая культура,1,0,0,8,35,9,15,,True,Некто
35,9,в,англ. Светлана Николаевна,физическая культура,1,0,0,8,35,9,15,,True,Некто
36,10,а,англ. Татьяна Петровна,история,1,0,0,8,35,9,15,4,True,Некто
37,10,а,англ. Светлана Николаевна,история,1,0,0,8,35,9,15,4,True,Некто
38,10,б,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,8,35,9,15,10,True,Некто
39,10,б,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,8,35,9,15,10,True,Некто
40,10,в,англ. Татьяна Петровна,литература,1,0,0,8,35,9,15,12,True,Некто
41,10,в,англ. Светлана Николаевна,литература,1,0,0,8,35,9,15,12,True,Некто
42,11,а,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,8,35,9,15,11,True,Некто
43,11,а,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,8,35,9,15,11,True,Некто
44,11,б,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,8,35,9,15,13,True,Некто
45,11,б,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,8,35,9,15,15,True,Некто
46,11,в,англ. Татьяна Петровна,английский язык,1,0,0,8,35,9,15,8,True,Некто
47,11,в,англ. Светлана Николаевна,английский язык,1,0,0,8,35,9,15,9,True,Некто
48,8,а,англ. Татьяна Петровна,физика,1,0,0,9,30,10,10,14,True,Некто
49,8,а,англ. Светлана Николаевна,физика,1,0,0,9,30,10,10,14,True,Некто
50,8,б,англ. Татьяна Петровна,история,1,0,0,9,30,10,10,6,True,Некто
51,8,б,англ. Светлана Николаевна,история,1,0,0,9,30,10,10,6,True,Некто
52,8,в,англ. Татьяна Петровна,русский язык,1,0,0,9,30,10,10,5,True,Некто
53,8,в,англ. Светлана Николаевна,русский язык,1,0,0,9,30,10,10,5,True,Некто
54,9,а,англ. Татьяна Петровна,биология,1,0,0,9,30,10,10,2,True,Некто
55,9,а,англ. Светлана Николаевна,биология,1,0,0,9,30,10,10,2,True,Некто
56,9,б,англ. Татьяна Петровна,география,1,0,0,9,30,10,10,7,True,Некто
57,9,б,англ. Светлана Николаевна,география,1,0,0,9,30,10,10,7,True,Некто
58,9,в,англ. Татьяна Петровна,физическая культура,1,0,0,9,30,10,10,,True,Некто
59,9,в,англ. Светлана Николаевна,физическая культура,1,0,0,9,30,10,10,,True,Некто
60,10,а,англ. Татьяна Петровна,история,1,0,0,9,30,10,10,4,True,Некто
61,10,а,англ. Светлана Николаевна,история,1,0,0,9,30,10,10,4,True,Некто
62,10,б,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,9,30,10,10,10,True,Некто
63,10,б,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,9,30,10,10,10,True,Некто
64,10,в,англ. Татьяна Петровна,литература,1,0,0,9,30,10,10,12,True,Некто
65,10,в,англ. Светлана Николаевна,литература,1,0,0,9,30,10,10,12,True,Некто
66,11,а,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,9,30,10,10,11,True,Некто
67,11,а,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,9,30,10,10,11,True,Некто
68,11,б,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,9,30,10,10,13,True,Некто
69,11,б,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,9,30,10,10,15,True,Некто
70,11,в,англ. Татьяна Петровна,английский язык,1,0,0,9,30,10,10,8,True,Некто
71,11,в,англ. Светлана Николаевна,английский язык,1,0,0,9,30,10,10,9,True,Некто
72,8,а,англ. Татьяна Петровна,история,1,0,0,10,30,11,10,6,True,Некто
73,8,а,англ. Светлана Николаевна,история,1,0,0,10,30,11,10,6,True,Некто
74,8,б,англ. Татьяна Петровна,биология,1,0,0,10,30,11,10,2,True,Некто
75,8,б,англ. Светлана Николаевна,биология,1,0,0,10,30,11,10,2,True,Некто
76,8,в,англ. Татьяна Петровна,физика,1,0,0,10,30,11,10,14,True,Некто
77,8,в,англ. Светлана Николаевна,физика,1,0,0,10,30,11,10,14,True,Некто
78,9,а,англ. Татьяна Петровна,литература,1,0,0,10,30,11,10,4,True,Некто
79,9,а,англ. Светлана Николаевна,литература,1,0,0,10,30,11,10,4,True,Некто
80,9,б,англ. Татьяна Петровна,литература,1,0,0,10,30,11,10,5,True,Некто
